총 취득학점 현황
총 졸업요구학점(a),이수학기,일반 이수학점,소계(b),정규 수강신청,소계(c),총취득(예정)(d=b+c),사정학점(e=d-a),학적상태
130.00,6,122.00,122,11.25,11.25,133.25,3.25,재학

영역별 사정현황
구분,이수구분,요구학점(a),이수학점(b),수강신청(정규),수강신청(소계 c),총취득(예정)(d=b+c),사정학점(e=d-a),비고
필수영역,공통교양,,18.00,0.25,0.25,18.25,18.25,
필수영역,균형교양,8,8,,,8,,
필수영역,자율교양,6,4,2,2,6,0,
필수영역,공학소양,,,,,,,
필수영역,계열교양,6,6,,,6,,
필수영역,전공필수,21,21,,,21,0,
필수영역,전공선택,57,51,6,6,57,0,
일반선택,자유선택,,14,3,3,17,,
,,,,,미이수과목,지도교수멘토링 VII/VIII,
